,ticker,weight,price,1w_chg_pct,1m_chg_pct,drawdown,target_price,market_cap,revenue,revenue_last_year,gross_profit,cashflow,net_income,pcf,pe_ttm,fwd_eps,pe_fwd,peg,revenue_growth,est_eps_growth,fwd_peg,roe,gross_margin,cf_margin,net_margin
0,FB,0.0,237.09,-21.41791685636265,-26.86245287436374,-37.96378646670192,350.0,895977324544.0,117929000960.0,98356130909.0909,95280000000.0,57683001344.0,39369998336.0,15.532779218624981,17.217865,15.84,14.967803,0.83,19.900000000000002,15.032679738562106,0.9956842865217382,31.102,80.794,48.91332994804674,33.383998
1,MSFT,0.0,305.94,-0.7526137840528468,-3.2998300399145752,-10.83325595204424,370.0,2386552160256.0,184902991872.0,153957528619.48376,115856000000.0,83909001216.0,71184998400.0,28.442147155494037,32.58494,10.75,28.459536,1.85,20.1,14.495686441580592,1.9633106796767057,49.051,68.825996,45.38001271179345,38.498002
2,AAPL,0.0,172.39,1.2094155676913632,-1.446374803213346,-5.285421354609287,190.0,2813301358592.0,378323009536.0,340218533755.3956,152836000000.0,112241000448.0,100554997760.0,25.064827891438576,28.660017,6.55,26.319082,1.89,11.200000000000001,8.894430590191194,2.9590519295327087,145.567,43.019,29.668034356583195,26.579002000000003
3,GOOG,0.0,2860.32,7.297274970885814,3.895650940112572,-5.104534791242665,3560.0,1961718972416.0,257637007360.0,194589884712.99094,146698000000.0,91651997696.0,76032999424.0,21.40399578547993,27.554743,134.58,21.25368,0.9,32.4,29.646934155387505,0.7168930145897644,32.068999999999996,56.940000000000005,35.57408100457141,29.512
4,AMZN,0.0,3152.79,9.488601554022935,-4.087135257582652,-15.506735702478204,4025.0,1598931206144.0,469822013440.0,429453394369.287,197478000000.0,46327001088.0,33364000768.0,34.51402354119072,48.646664,75.13,41.964462,1.6,9.4,15.923468600524604,2.6353844788953498,28.805999999999997,42.032000000000004,9.860542878524853,7.101
5,PFE,0.0,53.0,-2.448006232708177,-4.003301036251495,-12.811484890364788,,300157009920.0,69336997888.0,29580630498.29351,33334000000.0,32291000320.0,19568001024.0,9.295376635764748,15.138532,55.84,0.94914037,0.01,134.4,1494.9728648957444,0.0006348880252526795,27.747,65.414,46.571096677937554,28.683999999999997
6,MCD,0.0,260.06,1.5502367439081954,-2.668514846237957,-3.57076821374005,284.0,194328526848.0,23222900736.0,20533068732.09549,12580200000.0,9141499904.0,7545200128.0,21.257838307581086,25.912714,11.1,23.428827,1.98,13.100000000000001,10.601833399760864,2.209884471541353,,54.172003000000004,39.364160437670485,32.490003
7,NVDA,0.0,243.19,6.475485525461533,-11.900451052974702,-27.127345006894643,350.0,606029479936.0,24273999872.0,16150365849.634064,10557000000.0,8142000128.0,8206000128.0,74.43250680528607,74.989204,5.17,47.038685,1.4,50.3,59.42028985507246,0.7916266500000001,41.939998,64.398,33.5420621691268,33.806000000000004
8,0700.HK,0.0,479.0,4.130434782608705,11.240128474324518,-36.8849052924063,594.66,590744106552.6561,86408144270.49313,76130523586.33755,34843802563.78649,27167833387.87694,29740743539.33202,21.744247990576344,43.489788,18.81,25.46518,1.25,13.5,70.78139980824542,0.3597722010159161,24.270001,44.959998,31.441287875400285,34.419
9,ADBE,0.0,513.54,-0.8916155929896252,-0.1730098674472935,-25.39768123682974,660.0,242236801024.0,15784999936.0,13154166613.333334,13920000000.0,7230000128.0,4822000128.0,33.50439788871882,51.25149,16.27,31.563612,2.41,20.0,62.375249500997995,0.5060278275840001,34.367999999999995,88.185,45.80297850689836,30.548
10,MO,0.0,50.19,-0.574486763385762,3.1866761030231894,-1.356136845363887,53.0,91650449408.0,26012999680.0,25857852564.612328,13992000000.0,,2475000064.0,,37.455223,5.15,9.74563,1.94,0.6,284.3283582089552,0.034275969028871395,364.238,53.788000000000004,,9.514
11,ADSK,0.0,241.24,0.7096986952824125,-8.731840644489852,-29.51762841131601,335.0,53066285056.0,4214000128.0,3565143932.318105,3484900000.0,1466099968.0,1319200000.0,36.19554342422576,40.695007,6.79,35.52872,1.64,18.2,14.54116059379218,2.4433207907192562,195.55299,91.737,34.79117046671338,31.305
12,ASML,0.0,652.81,1.215564632710242,-12.453228302037068,-26.404445442632756,880.25,266351050752.0,21323326997.72754,18193965015.12589,11238542927.980423,12426444481.92041,6740605133.43811,21.4342124281424,40.289455,23.31,28.005577,1.11,17.2,43.862247731901505,0.6384893262009286,49.014,52.705,58.27629282824728,31.611000999999998
13,BRK-B,0.0,314.99,0.6679438730133214,1.635898485730669,-2.81986070735476,340.5,703303385088.0,268677005312.0,239890183314.2857,69721000000.0,42171998208.0,85984002048.0,16.677023024120867,0.0055978755,12.65,24.900394,1.15,12.0,-99.97751892932808,-0.24905993133917978,19.336000000000002,41.394999999999996,15.696169517383131,32.002997
14,GS,0.0,367.6,5.933545361356396,-7.784160348998048,-12.813517674825825,446.5,124051406848.0,58981998592.0,54918062003.72439,52699000000.0,,21151000576.0,,6.183347,41.54,8.849302,0.75,7.3999999999999995,-30.126156433978135,-0.2937414873813512,20.846,89.347,,36.681000000000004
15,ISRG,0.0,285.73,5.1289605957322015,-16.440999916287502,-21.807782692002387,325.0,102073327616.0,5710099968.0,4892973408.740359,3958500000.0,,1704600064.0,,61.315456,5.88,48.59354,3.0,16.7,26.18025751072961,1.8561139049180329,15.919,69.32499399999999,,29.852
16,KO,0.0,60.96,0.1972369026689735,0.2796482421205004,-1.0550260013626689,64.0,263311835136.0,37802000384.0,32559862518.518517,19581000000.0,12855000064.0,8812999680.0,20.48322316803374,30.014772,2.43,25.086418,2.79,16.1,19.645494830132936,1.2769552621052633,39.722002,60.723996,34.00613706527812,23.313999
17,LVMUY,0.0,162.84,1.2308813378256511,-3.83843164082176,-3.83843164082176,,416121323520.0,73573557277.11914,54337930042.18548,50252063698.768616,21365720692.742676,13790100907.748535,19.476119224068324,30.161139,,,,35.4,,,28.945,68.30199999999999,29.0399451697944,18.743000000000002
18,2318.HK,0.0,63.7,5.20231472430952,12.147890173521048,-33.20415299268167,84.54,149346040833.56247,209815274366.45306,205098019908.55627,67750650431.394554,15327726357.744257,19133087879.303093,9.743522121146567,6.7779117,4.0,15.925,,2.3,-57.438545249476626,-0.2772528435536084,14.309,35.908002,7.305343428416752,9.119
19,TSM,0.0,121.02,2.8994099268924822,-4.753660500223134,-13.962751676177833,158.95,627609698304.0,57103311539.78747,47114943514.67613,29480808651.30939,40007230219.42618,21459045217.021923,15.687406872752057,29.231884,6.31,19.179081,1.07,21.2,52.41545893719808,0.3659050476497695,29.694998000000002,51.627,70.06113855857663,37.579
20,MCO,0.0,346.88,3.08163050615049,-8.001587027426726,-14.569813915590656,439.0,64484990976.0,5968999936.0,5305777720.888889,3896000000.0,2364000000.0,2100999936.0,27.277914964467005,31.07687,12.69,27.334911,2.18,12.5,13.689302992295271,1.9968080928141385,97.449,73.848,39.60462431474216,35.199000000000005
21,1810.HK,0.0,16.58,1.968017775644415,-7.477679391087467,-45.905382936180615,28.0,53154611165.84764,49240921382.221664,45509169484.49322,5778140559.594301,1820788932.3715966,4035357031.4984117,29.193175672818487,,1.19,13.932773,0.39,8.200000000000001,,,22.259999999999998,17.538,3.6977149924513575,8.1949994
22,3690.HK,0.0,226.8,9.038463005652789,16.24807583625747,-49.75631233531477,313.27,178672531920.25778,26178477257.97509,18956174698.026855,5214251384.144349,-151078381.08837694,-3214207697.597472,-1182.6479118527157,,-1.12,-202.5,-0.7,38.1,,,-17.781,23.382,-0.577109125177829,-12.2779995
